month,region,omega,productivity,predictability,growth_rate,in_window
25,industrial,0.6183719811609631,2.604604945476902,0.8225303999488311,0.042870364799385975,1.0
26,industrial,0.6350158481820195,2.7294507853382126,0.8558181339909439,0.04326981760789132,1.0
27,industrial,0.617718219438613,2.5998908314998856,0.821222876504131,0.00499744537260871,0.0
28,industrial,0.632391060928135,2.709117176708264,0.8505685594831749,0.043206822713798096,1.0
29,industrial,0.6057700672888064,2.516052489086788,0.7973265722045177,0.004900782791202999,0.0
30,industrial,0.6086032108124315,2.5355460694136007,0.8029928592517679,0.004923703403784159,0.0
31,industrial,0.5894403740133924,2.4080090359162902,0.7646671856536897,0.004768672797475597,0.0
32,industrial,0.6036130387163882,2.5013654111959065,0.7930125150596812,0.004883332063478612,0.0
33,industrial,0.5976544348212036,2.4614660479254784,0.7810953072693121,0.004835125945339081,0.0
34,industrial,0.6030895481955614,2.4978208130894344,0.7919655340180276,0.004879096936201181,0.0
35,industrial,0.5940852262889796,2.438023588873613,0.7739568902048641,0.0048062504417487086,0.0
36,industrial,0.6162391520682846,2.58927567909197,0.8182647417634741,0.004985479466224498,0.0
37,industrial,0.6162038255647538,2.589022986660355,0.8181940887564125,0.004985193668807416,0.0
38,industrial,0.6238785273212771,2.6448616439819572,0.8335434922694591,0.04300252190723351,1.0
39,industrial,0.6345946695165458,2.7261709389793607,0.8549757766599964,0.04325970931991996,1.0
40,industrial,0.6357377958682084,2.735088148771108,0.8572620293633217,0.043287144352359856,1.0
41,industrial,0.6243641752825649,2.6484602220291933,0.8345147881920347,0.043014177458304416,1.0
42,industrial,0.6092981370902203,2.540363308613274,0.8043827118073454,0.0049293254754698475,0.0
43,industrial,0.599308722070224,2.4724461236022326,0.7844038817673529,0.004848509410319434,0.0
44,industrial,0.6114745535147531,2.5555429436913175,0.8087355446564111,0.004946933054212685,0.0
45,industrial,0.6028532622009526,2.4962234149730635,0.79149296202881,0.004877185342349468,0.0
46,industrial,0.6068642814775445,2.5235537208415297,0.7995150005819938,0.004909635169944752,0.0
47,industrial,0.6257560407349229,2.6588179314742764,0.8372985190967506,0.04304758222916101,1.0
48,industrial,0.6113544523431181,2.5547015937477697,0.8084953423131411,0.004945961415323715,0.0
49,industrial,0.6479502386584332,2.833508542561038,0.8816869149437712,0.04358024297932526,1.0
50,industrial,0.6598635189466081,2.9355324607173836,0.9055134755201211,0.043866161706241455,1.0
51,industrial,0.6506083219112336,2.855733244555393,0.8870030814493721,0.04364403697739247,1.0
52,industrial,0.6424595468086974,2.7885277835254008,0.8707055312442997,0.0434484663749316,1.0
53,industrial,0.624536881987996,2.6497418686457066,0.8348602016028968,0.04301832241923476,1.0
54,industrial,0.6293965629886635,2.686224256671964,0.8445795636042319,0.043134954763250785,1.0
55,industrial,0.6094923611122567,2.5417122189250305,0.8047711598514182,0.00493089678081528,0.0
56,industrial,0.6068654550576288,2.5235617846822818,0.7995173477421624,0.0049096446644070766,0.0
57,industrial,0.602896873563933,2.4965181296954704,0.7915801847547708,0.0048775381656874575,0.0
58,industrial,0.6104957417058422,2.5486986408024492,0.8067779210385893,0.004939014300335647,0.0
59,industrial,0.625711401384564,2.6584847204939988,0.837209240396033,0.0430465108847524,1.0
60,industrial,0.620555327537068,2.620448026049337,0.8268970927010408,0.04292276511241249,1.0
1,service,0.6811167693309578,3.134593183080583,0.9480199762888204,0.044376239715465844,1.0
2,service,0.6881580251931071,3.2060342856601745,0.962102488013119,0.04454522985615743,1.0
3,service,0.6914402220602232,3.240372222811341,0.9686668817473512,0.044624002580968214,1.0
4,service,0.6859192944146982,3.1829972186666438,0.9576250264563013,0.04449150031747562,1.0
5,service,0.6840694087564178,3.1641907621682663,0.9539252551397404,0.04444710306167689,1.0
6,service,0.693312226627031,3.2602645678785263,0.9724108908809668,0.0446689306905716,1.0
7,service,0.6698128262879863,3.02580355961029,0.9254120902028775,0.04410494508243453,1.0
