omega,productivity,predictability,growth_rate,gini,in_window
2.540000000000000036e-01,9.298710634120737062e-01,9.378643762690486163e-02,2.054903165712366857e-03,3.643922532569893735e-01,0.000000000000000000e+00
2.560000000000000053e-01,9.370913654404008364e-01,9.778643762690486518e-02,2.071083505599865399e-03,3.656866804479892430e-01,0.000000000000000000e+00
2.580000000000000071e-01,9.443150930632231432e-01,1.017864376269048687e-01,2.087263845487364808e-03,3.669811076389891680e-01,0.000000000000000000e+00
2.600000000000000089e-01,9.515424037853605910e-01,1.057864376269048723e-01,2.103444185374863783e-03,3.682755348299890930e-01,0.000000000000000000e+00
2.620000000000000107e-01,9.587734568190031670e-01,1.097864376269048758e-01,2.119624525262362325e-03,3.695699620209890179e-01,0.000000000000000000e+00
2.640000000000000124e-01,9.660084131069072155e-01,1.137864376269048794e-01,2.135804865149861734e-03,3.708643892119889429e-01,0.000000000000000000e+00
2.660000000000000142e-01,9.732474353459743543e-01,1.177864376269048829e-01,2.151985205037360710e-03,3.721588164029888679e-01,0.000000000000000000e+00
2.680000000000000160e-01,9.804906880112138623e-01,1.217864376269048865e-01,2.168165544924859252e-03,3.734532435939887929e-01,0.000000000000000000e+00
2.700000000000000178e-01,9.877383373801014166e-01,1.257864376269048901e-01,2.184345884812358661e-03,3.747476707849887179e-01,0.000000000000000000e+00
2.720000000000000195e-01,9.949905515573372883e-01,1.297864376269048936e-01,2.200526224699857637e-03,3.760420979759886428e-01,0.000000000000000000e+00
2.740000000000000213e-01,1.002247500500015320e+00,1.337864376269048972e-01,2.216706564587356178e-03,3.773365251669885123e-01,0.000000000000000000e+00
2.760000000000000231e-01,1.009509356043208239e+00,1.377864376269049007e-01,2.232886904474855588e-03,3.786309523579884373e-01,0.000000000000000000e+00
2.780000000000000249e-01,1.016776291925978182e+00,1.417864376269049043e-01,2.249067244362354129e-03,3.799253795489883623e-01,0.000000000000000000e+00
2.800000000000000266e-01,1.024048483817822097e+00,1.457864376269049078e-01,2.265247584249853105e-03,3.812198067399882873e-01,0.000000000000000000e+00
2.820000000000000284e-01,1.031326109345556574e+00,1.497864376269049114e-01,2.281427924137352081e-03,3.825142339309882122e-01,0.000000000000000000e+00
2.840000000000000302e-01,1.038609348120655307e+00,1.537864376269049149e-01,2.297608264024851056e-03,3.838086611219880817e-01,0.000000000000000000e+00
2.860000000000000320e-01,1.045898381767046192e+00,1.577864376269049185e-01,2.313788603912350032e-03,3.851030883129880067e-01,0.000000000000000000e+00
2.880000000000000338e-01,1.053193393949374723e+00,1.617864376269049220e-01,2.329968943799849007e-03,3.863975155039879317e-01,0.000000000000000000e+00
2.899999999999999800e-01,1.060494570401747216e+00,1.657864376269048146e-01,2.346149283687347549e-03,3.876919426949878567e-01,0.000000000000000000e+00
2.919999999999999818e-01,1.067802098956960988e+00,1.697864376269048181e-01,2.362329623574846525e-03,3.889863698859877261e-01,0.000000000000000000e+00
2.939999999999999836e-01,1.075116169576229908e+00,1.737864376269048217e-01,2.378509963462345500e-03,3.902807970769876511e-01,0.000000000000000000e+00
2.959999999999999853e-01,1.082436974379417771e+00,1.777864376269048252e-01,2.394690303349844476e-03,3.915752242679875761e-01,0.000000000000000000e+00
2.979999999999999871e-01,1.089764707675789257e+00,1.817864376269048288e-01,2.410870643237343451e-03,3.928696514589875011e-01,0.000000000000000000e+00
2.999999999999999889e-01,1.097099565995285575e+00,1.857864376269048323e-01,2.427050983124842427e-03,3.941640786499874261e-01,0.000000000000000000e+00
3.019999999999999907e-01,1.104441748120340794e+00,1.897864376269048359e-01,2.443231323012341402e-03,3.954585058409873510e-01,0.000000000000000000e+00
3.039999999999999925e-01,1.111791455118244176e+00,1.937864376269048394e-01,2.459411662899840378e-03,3.967529330319872205e-01,0.000000000000000000e+00
3.059999999999999942e-01,1.119148890374063399e+00,1.977864376269048430e-01,2.475592002787339353e-03,3.980473602229871455e-01,0.000000000000000000e+00
3.079999999999999960e-01,1.126514259624138647e+00,2.017864376269048465e-01,2.491772342674838329e-03,3.993417874139870705e-01,0.000000000000000000e+00
3.099999999999999978e-01,1.133887770990159582e+00,2.057864376269048501e-01,2.507952682562337304e-03,4.006362146049869954e-01,0.000000000000000000e+00
3.119999999999999996e-01,1.141269635013834716e+00,2.097864376269048536e-01,2.524133022449835846e-03,4.019306417959869204e-01,0.000000000000000000e+00
